CustomerID,Recency,Frequency,Monetary,Recency_Log,Frequency_Log,Monetary_Log,Customer_Value_Level,Cluster
12346,326,1,77183.6,5.7899601708972535,0.6931471805599453,11.253955234248428,Cao,2
12347,2,7,4310.0,1.0986122886681098,2.079441541679836,8.368925174747135,Cao,0
12348,75,4,1797.24,4.330733340286331,1.6094379124341005,7.494563687769957,Cao,2
12349,19,1,1757.55,2.995732273553991,0.6931471805599453,7.472244884833674,Cao,2
12350,310,1,334.4,5.739792912179234,0.6931471805599453,5.815323849389109,Thap,1
12352,36,8,2506.04,3.610917912644224,2.19722457733622,7.826858053356098,Cao,0
12353,204,1,89.0,5.3230099791384085,0.6931471805599453,4.499809670330265,Thap,1
12354,232,1,1079.4,5.4510384535657,0.6931471805599453,6.985086621918461,Trung_binh,1
12355,214,1,459.4,5.3706380281276624,0.6931471805599453,6.132095676847728,Trung_binh,1
12356,23,3,2811.43,3.1780538303479458,1.3862943611198906,7.941804157314053,Cao,2
12357,33,1,6207.67,3.5263605246161616,0.6931471805599453,8.733701981297274,Cao,2
12358,2,2,1168.06,1.0986122886681098,1.0986122886681098,7.063955286074528,Trung_binh,2
12359,58,4,6310.03,4.07753744390572,1.6094379124341005,8.750054175177759,Cao,2
12360,52,3,2662.06,3.970291913552122,1.3862943611198906,7.887231116540211,Cao,2
12361,287,1,189.9,5.662960480135946,0.6931471805599453,5.251749730731702,Thap,1
12362,3,10,5226.23,1.3862943611198906,2.3978952727983707,8.56163678004062,Cao,0
12363,110,2,552.0,4.709530201312334,1.0986122886681098,6.315358001522335,Trung_binh,1
12364,8,4,1313.1,2.19722457733622,1.6094379124341005,7.180907299649593,Cao,2
12365,291,2,641.38,5.676753802268282,1.0986122886681098,6.465180028897591,Trung_binh,1
12367,4,1,168.9,1.6094379124341005,0.6931471805599453,5.135210028677887,Thap,2
12370,51,4,3541.94,3.951243718581428,1.6094379124341005,8.172712169921061,Cao,2
12371,45,2,1887.96,3.828641396489095,1.0986122886681098,7.543781692052325,Cao,2
12372,72,3,1298.04,4.290459441148391,1.3862943611198906,7.169380809114136,Cao,2
12373,311,1,364.6,5.7430031878094825,0.6931471805599453,5.901539839579995,Thap,1
12374,25,1,742.9300000000001,3.258096538021482,0.6931471805599453,6.61194694438522,Trung_binh,2
12375,11,2,457.5,2.4849066497880004,1.0986122886681098,6.127960291696519,Trung_binh,2
12377,315,2,1628.12,5.755742213586912,1.0986122886681098,7.395795270713971,Cao,1
12378,130,1,4008.62,4.875197323201151,0.6931471805599453,8.29645175271804,Cao,2
